NO;ACCREDITATION;DOI;TITLE;JOURNAL;PUBLISHER;DATE PUBLISH;
161;S4;DOI: 10.24252/iqtisaduna.v6i2.19034;Infak/Sedekah di Masa Pandemi Covid-19 Dalam Kajian Akuntansi Syariah;Jurnal Iqtisaduna;Universitas Islam Negeri Alauddin Makassar;2020-12-27;
162;-;DOI: 10.24252/assets.v10i2.17558;PENGARUH KEPEMIMPINAN PEREMPUAN TERHADAP KINERJA PEGAWAI DENGAN KOMITMEN ORGANISASI SEBAGAI VARIABEL INTERVENING (Studi pada Instansi Pegawai Kabupaten Jeneponto);Assets: Jurnal Ekonomi, Manajemen, dan Akuntansi;Universitas Islam Negeri Alauddin Makassar;2020-12-07;
163;S5;DOI: 10.24252/msa.v8i1.14345;ANALISIS KEKONTINUAN FUNGSI PADA BARISAN FUNGSI KONVERGEN;Matematika dan Statistika serta Aplikasinya;Universitas Islam Negeri Alauddin Makassar;2020-07-06;
164;S5;DOI: 10.24252/msa.v8i2.14346;Analisis Prinsip Ketiga Littlewood dalam Teori Fungsi Variabel Ril;Matematika dan Statistika serta Aplikasinya;Universitas Islam Negeri Alauddin Makassar;2020-12-23;
165;S4;DOI: 10.24252/teknosains.v14i1.12944;SOLUSI PERSAMAAN DIFERENSIAL PADA SISTEM BEJANA DENGAN MENGGUNAKAN METODE TRANSFORMASI LAPLACE;Teknosains;Fakultas Sains dan Teknologi Universitas Islam Negeri Alauddin Makassar;2020-01-30;
166;S5;DOI: 10.24252/msa.v8i1.17441;Peramalan Indeks Harga Konsumen (IHK) di Sulawesi Selatan dengan Menggunakan Metode Singular Spektrum Analysis (SSA);Matematika dan Statistika serta Aplikasinya;Universitas Islam Negeri Alauddin Makassar;2020-06-17;
167;S5;DOI: 10.24252/msa.v8i2.16301;KLASIFIKASI USAHA INDUSTRI DI KABUPATEN LUWU UTARA BERDASARKAN INDIKATOR INDUSTRI KECIL DAN INDUSTRI MENENGAH MENGGUNAKAN METODE AVERAGE LINKAGE CLUSTERING;Matematika dan Statistika serta Aplikasinya;Universitas Islam Negeri Alauddin Makassar;2020-12-23;
168;S3;DOI: 10.24252/jiip.v6i1.14444;Produksi Semen Segar (Volume dan Konsentrasi) dan Beku dari Sapi Pejantan dengan Skor Kondisi Tubuh (SKT) yang Berbeda;Jurnal Ilmu dan Industri Peternakan;State Islamic University (UIN) Alauddin;2020-06-30;
169;S3;DOI: 10.24252/jiip.v6i2.18316;Penambahan Bubuk Daun Cengkeh (Syzygium aromaticum) terhadap Kualitas Daging Broiler;Jurnal Ilmu dan Industri Peternakan;State Islamic University (UIN) Alauddin;2020-12-31;
170;-;;Pergulatan dalam Memperjuangkan Dasar Negara;Al-Hikmah Journal for Religious Studies;Universitas Islam Negeri Alauddin;2020-12-11;
171;-;;Identifikasi Air Tanah Menggunakan Metode Resistivitas: Studi Kasus Desa Bonto Baddo, Kecamatan Bonto Rammba, Kabupaten Gowa;Neutrino;Publikasi dan UKI Press UKI Toraja.;2021-02-20;
172;S5;DOI: 10.24252/msa.v8i1.12866;Aplikasi Simulasi Monte Carlo Dengan Teknik Antithetic Variates Dalam Menentukan Harga Opsi Cash-or-nothing Call;Jurnal MSA ( Matematika dan Statistika serta Aplikasinya);Universitas Islam Negeri Alauddin Makassar;2020-07-06;
173;S5;DOI: 10.24252/mh.v2i2.17597;"Fenomena IkhtilÄf di Kalangan Masyarakat Islam Kota Makassar; Studi Perbandingan antara Nahdlatul Ulama dan Wahdah Islamiyah";Mazahibuna: Jurnal Perbandingan Mazhab;Universitas Islam Negeri Alauddin Makassar;2020-12-06;
174;S4;DOI: 10.24252/al-risalah.v20i2.19968;ISLAMIC LAW VIEWS ON HARSH PHYSICAL PARENTING: A Comparative Study;Al-Risalah;Universitas Islam Negeri Alauddin Makassar;2020-11-23;
175;-;DOI: 10.24252/psb.v6i1.15251;Keanekaragaman flora kandidat antioksidan dalam memperbaiki kualitas spermatozoa yang telah terpapar asap rokok;Prosiding Seminar Biologi;Jurusan Biologi, Fakultas Sains dan Teknologi, Universitas Islam Negeri Alauddin Makassar;2020-08-29;
176;S4;DOI: 10.24252/teknosains.v14i2.15417;ADAKAH HUTAN MANGROVE DI MASA DEPAN?;Teknosains;Fakultas Sains dan Teknologi Universitas Islam Negeri Alauddin Makassar;2020-07-30;
177;S4;DOI: 10.20956/pa.v4i3.8083;PENCEGAHAN STUNTING MELALUI PEMBERDAYAAN KADER PKK KECAMATAN BAREBBO DI KABUPATEN BONE;Panrita Abdi - Jurnal Pengabdian pada Masyarakat;LP2M Universitas Hasanuddin;2020-07-10;
178;S3;DOI: 10.31258/raje.3.2.79-86;Pengelolaan sampah dengan pendekatan Asset-Based Community Development (ABCD) di wilayah pesisir Bulukumba Sulawesi Selatan;Riau Journal of Empowerment;Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau;2020-08-13;
